Company Name,Sector,Ticker,Active Share,Bench Weight,Portfolio Weight,Core Model,Sector-and-Subsector
CRH public limited company,Materials,CRH,0.633090852,0,1.266181704,2,Industrial Commodities-Industrial Commodities
Linde plc,Materials,LIN,0.398244726,0.453842873,1.250332325,3,Industrial Commodities-Industrial Commodities
Sherwin-Williams Company,Materials,SHW,0.081068132,0.162136263,0,4,Industrial Commodities-Industrial Commodities
"Air Products and Chemicals, Inc.",Materials,APD,0.067803819,0.135607638,0,5,Industrial Commodities-Industrial Commodities
Ecolab Inc.,Materials,ECL,0.066098437,0.132196874,0,3,Industrial Commodities-Industrial Commodities
"Freeport-McMoRan, Inc.",Materials,FCX,0.060877255,0.12175451,0,4,Industrial Commodities-Industrial Commodities
Newmont Corporation,Materials,NEM,0.056604268,0.113208537,0,4,Industrial Commodities-Industrial Commodities
Corteva Inc,Materials,CTVA,0.044236274,0.088472549,0,2,Industrial Commodities-Industrial Commodities
"DuPont de Nemours, Inc.",Materials,DD,0.033480944,0.066961888,0,2,Industrial Commodities-Industrial Commodities
Vulcan Materials Company,Materials,VMC,0.032826514,0.065653028,0,4,Industrial Commodities-Industrial Commodities
Nucor Corporation,Materials,NUE,0.031652026,0.063304052,0,3,Industrial Commodities-Industrial Commodities
"Martin Marietta Materials, Inc.",Materials,MLM,0.030778778,0.061557557,0,5,Industrial Commodities-Industrial Commodities
International Paper Company,Materials,IP,0.028558666,0.057117332,0,3,Industrial Commodities-Industrial Commodities
"PPG Industries, Inc.",Materials,PPG,0.026871625,0.05374325,0,3,Industrial Commodities-Industrial Commodities
"Dow, Inc.",Materials,DOW,0.026682425,0.053364849,0,4,Industrial Commodities-Industrial Commodities
Smurfit Westrock PLC,Materials,SW,0.02351838,0.04703676,0,4,Industrial Commodities-Industrial Commodities
International Flavors & Fragrances Inc.,Materials,IFF,0.021232181,0.042464361,0,5,Industrial Commodities-Industrial Commodities
LyondellBasell Industries NV,Materials,LYB,0.019652719,0.039305438,0,2,Industrial Commodities-Industrial Commodities
"Steel Dynamics, Inc.",Materials,STLD,0.018663816,0.037327632,0,2,Industrial Commodities-Industrial Commodities
Packaging Corporation of America,Materials,PKG,0.01831132,0.036622639,0,3,Industrial Commodities-Industrial Commodities
Ball Corporation,Materials,BALL,0.016027694,0.032055388,0,4,Industrial Commodities-Industrial Commodities
Avery Dennison Corporation,Materials,AVY,0.014802428,0.029604855,0,2,Industrial Commodities-Industrial Commodities
Amcor PLC,Materials,AMCR,0.014624674,0.029249348,0,1,Industrial Commodities-Industrial Commodities
"CF Industries Holdings, Inc.",Materials,CF,0.013938782,0.027877564,0,1,Industrial Commodities-Industrial Commodities
Eastman Chemical Company,Materials,EMN,0.010837578,0.021675155,0,1,Industrial Commodities-Industrial Commodities
Albemarle Corporation,Materials,ALB,0.009421165,0.01884233,0,5,Industrial Commodities-Industrial Commodities
Mosaic Company,Materials,MOS,0.009383634,0.018767268,0,1,Industrial Commodities-Industrial Commodities
Celanese Corporation,Materials,CE,0.006462895,0.012925789,0,2,Industrial Commodities-Industrial Commodities
FMC Corporation,Materials,FMC,0.005487229,0.010974458,0,1,Industrial Commodities-Industrial Commodities
American Tower Corporation,Real Estate,AMT,1.160355619,0.208504147,2.529215385,5,Financials:-Real Estate
"Prologis, Inc.",Real Estate,PLD,0.10806192,0.21612384,0,4,Financials:-Real Estate
Welltower Inc.,Real Estate,WELL,0.091082912,0.182165825,0,5,Financials:-Real Estate
"Equinix, Inc.",Real Estate,EQIX,0.085557456,0.171114911,0,4,Financials:-Real Estate
"Simon Property Group, Inc.",Real Estate,SPG,0.052516274,0.105032549,0,3,Financials:-Real Estate
Realty Income Corporation,Real Estate,O,0.051430706,0.102861411,0,5,Financials:-Real Estate
"Digital Realty Trust, Inc.",Real Estate,DLR,0.049159453,0.098318906,0,5,Financials:-Real Estate
Public Storage,Real Estate,PSA,0.048651815,0.09730363,0,3,Financials:-Real Estate
Crown Castle Inc.,Real Estate,CCI,0.047314034,0.094628068,0,4,Financials:-Real Estate
"CBRE Group, Inc. Class A",Real Estate,CBRE,0.040739722,0.081479445,0,1,Financials:-Real Estate
"CoStar Group, Inc.",Real Estate,CSGP,0.033726305,0.067452609,0,4,Financials:-Real Estate
VICI Properties Inc,Real Estate,VICI,0.032899935,0.065799869,0,1,Financials:-Real Estate
Extra Space Storage Inc.,Real Estate,EXR,0.032182163,0.064364326,0,4,Financials:-Real Estate
"AvalonBay Communities, Inc.",Real Estate,AVB,0.0312666,0.062533199,0,3,Financials:-Real Estate
"Ventas, Inc.",Real Estate,VTR,0.029572475,0.059144949,0,5,Financials:-Real Estate
"Iron Mountain, Inc.",Real Estate,IRM,0.027012989,0.054025979,0,3,Financials:-Real Estate
Equity Residential,Real Estate,EQR,0.024948124,0.049896248,0,3,Financials:-Real Estate
SBA Communications Corp. Class A,Real Estate,SBAC,0.024739221,0.049478443,0,3,Financials:-Real Estate
Weyerhaeuser Company,Real Estate,WY,0.02276687,0.045533739,0,3,Financials:-Real Estate
"Essex Property Trust, Inc.",Real Estate,ESS,0.020199934,0.040399868,0,3,Financials:-Real Estate
"Invitation Homes, Inc.",Real Estate,INVH,0.020189266,0.040378533,0,4,Financials:-Real Estate
"Mid-America Apartment Communities, Inc.",Real Estate,MAA,0.019780983,0.039561966,0,3,Financials:-Real Estate
"Alexandria Real Estate Equities, Inc.",Real Estate,ARE,0.015707815,0.03141563,0,5,Financials:-Real Estate
"Healthpeak Properties, Inc.",Real Estate,DOC,0.014825139,0.029650278,0,4,Financials:-Real Estate
Kimco Realty Corporation,Real Estate,KIM,0.014673398,0.029346797,0,2,Financials:-Real Estate
"UDR, Inc.",Real Estate,UDR,0.01364449,0.027288979,0,4,Financials:-Real Estate
Camden Property Trust,Real Estate,CPT,0.013340299,0.026680598,0,3,Financials:-Real Estate
Regency Centers Corporation,Real Estate,REG,0.01224114,0.02448228,0,2,Financials:-Real Estate
"Host Hotels & Resorts, Inc.",Real Estate,HST,0.010880937,0.021761875,0,2,Financials:-Real Estate
BXP Inc,Real Estate,BXP,0.010369839,0.020739678,0,3,Financials:-Real Estate
Federal Realty Investment Trust,Real Estate,FRT,0.007752634,0.015505269,0,3,Financials:-Real Estate
Millrose Properties Inc Class A,Real Estate,MRP,6.01947E-08,1.20389E-07,0,4,Financials:-Real Estate
Xcel Energy Inc.,Utilities,XEL,0.58372915,0.083797848,1.251256149,5,Utilities-Utilities
"NextEra Energy, Inc.",Utilities,NEE,0.448061438,0.304647825,1.200770701,5,Utilities-Utilities
Southern Company,Utilities,SO,0.102640752,0.205281504,0,4,Utilities-Utilities
Duke Energy Corporation,Utilities,DUK,0.096625826,0.193251652,0,4,Utilities-Utilities
Constellation Energy Corporation,Utilities,CEG,0.071459129,0.142918257,0,5,Utilities-Utilities
"American Electric Power Company, Inc.",Utilities,AEP,0.058882079,0.117764157,0,3,Utilities-Utilities
Dominion Energy Inc,Utilities,D,0.048088378,0.096176756,0,5,Utilities-Utilities
Vistra Corp.,Utilities,VST,0.046712518,0.093425037,0,2,Utilities-Utilities
Exelon Corporation,Utilities,EXC,0.046642955,0.093285911,0,2,Utilities-Utilities
Sempra,Utilities,SRE,0.046155249,0.092310498,0,5,Utilities-Utilities
Public Service Enterprise Group Inc,Utilities,PEG,0.043198228,0.086396455,0,5,Utilities-Utilities
PG&E Corporation,Utilities,PCG,0.039153578,0.078307155,0,2,Utilities-Utilities
"Consolidated Edison, Inc.",Utilities,ED,0.039122897,0.078245794,0,4,Utilities-Utilities
Entergy Corporation,Utilities,ETR,0.037795176,0.075590352,0,3,Utilities-Utilities
WEC Energy Group Inc,Utilities,WEC,0.035506415,0.071012831,0,3,Utilities-Utilities
DTE Energy Company,Utilities,DTE,0.029525969,0.059051939,0,4,Utilities-Utilities
"American Water Works Company, Inc.",Utilities,AWK,0.028760504,0.057521007,0,5,Utilities-Utilities
Ameren Corporation,Utilities,AEE,0.027775426,0.055550852,0,4,Utilities-Utilities
PPL Corporation,Utilities,PPL,0.026878443,0.053756885,0,4,Utilities-Utilities
"CenterPoint Energy, Inc.",Utilities,CNP,0.024389248,0.048778495,0,5,Utilities-Utilities
Atmos Energy Corporation,Utilities,ATO,0.024382237,0.048764474,0,5,Utilities-Utilities
Edison International,Utilities,EIX,0.02376244,0.04752488,0,1,Utilities-Utilities
Eversource Energy,Utilities,ES,0.023490684,0.046981368,0,4,Utilities-Utilities
CMS Energy Corporation,Utilities,CMS,0.022917847,0.045835693,0,4,Utilities-Utilities
FirstEnergy Corp.,Utilities,FE,0.021248767,0.042497534,0,4,Utilities-Utilities
"NRG Energy, Inc.",Utilities,NRG,0.021008947,0.042017894,0,1,Utilities-Utilities
NiSource Inc,Utilities,NI,0.019231458,0.038462916,0,4,Utilities-Utilities
Alliant Energy Corporation,Utilities,LNT,0.016966185,0.03393237,0,4,Utilities-Utilities
"Evergy, Inc.",Utilities,EVRG,0.016272719,0.032545438,0,2,Utilities-Utilities
Pinnacle West Capital Corporation,Utilities,PNW,0.011158781,0.022317561,0,4,Utilities-Utilities
AES Corporation,Utilities,AES,0.009744741,0.019489483,0,3,Utilities-Utilities
